method,corr
bow_ol_bigrams,0.912876049967744
bow_ol_bigrams_lemma,0.9128115121258503
pos_bow_ol,0.9126129265069213
pos_bow_bigrams,0.9126129265069213
pos_bow_ol_lemma,0.9124437838922344
pos_bow_bigrams_lemma,0.9124437838922344
bow_ol_lemma,0.9112054633532441
bow_ol,0.9110514885761548
tfidf_cos_sim_bigram,0.9091863308165946
tfidf_cos_sim_bigram_lemma,0.9091863308165946
paper_preds,0.9063485122605811
tfidf_cos_sim,0.9001462327698734
tfidf_cos_sim_lemma,0.9001462327698734
bert_full,0.8921386653958184
bert_aligned,0.8687629342746995
bert_avg_pool,0.8278511849670845
docu_toads_lemma,0.8216571268874612
docu_toads,0.8180765297426058
jaro_winkler,0.8052101350715414
sw_align,0.6021158844210334
bert_max_avg,0.43859959905033347
