method,corr
bert_max_avg,0.43859985244317923
sw_align,0.6021158844210334
jaro_winkler,0.8052101350715414
docu_toads,0.8180765297426058
docu_toads_lemma,0.8216571268874612
bert_avg_pool,0.8278133477219543
bert_aligned,0.8687609669197525
bert_full,0.8915878323124252
tfidf_cos_sim,0.9001462327698734
tfidf_cos_sim_lemma,0.9001462327698734
gzip_text,0.9034546114604782
gzip_lemma,0.9037275626923663
bert_paper,0.9063485122605811
tfidf_cos_sim_bigram,0.9091863308165946
tfidf_cos_sim_bigram_lemma,0.9091863308165946
word_ol,0.9110514885761548
word_ol_lemma,0.9112054633532441
word_ol_bigrams_lemma,0.9128115121258503
word_ol_bigrams,0.912876049967744
word_pos_ol,NaN
word_pos_bigrams,NaN
word_pos_ol_lemma,NaN
word_pos_bigrams_lemma,NaN
