method,corr
paper_preds,0.9736263355846457
bow_ol_bigrams_lemma,0.9131279905997505
bow_ol_bigrams,0.9128760532391726
pos_bow_ol_lemma,0.911392832064302
pos_bow_bigrams_lemma,0.911392832064302
pos_bow_ol,0.9113887181155021
pos_bow_bigrams,0.9113887181155021
bow_ol,0.9110514885761548
bow_ol_lemma,0.9109384032474885
tfidf_cos_sim_bigram,0.9091881926151435
tfidf_cos_sim_bigram_lemma,0.9091881926151435
tfidf_cos_sim,0.9001443709713245
tfidf_cos_sim_lemma,0.9001443709713245
bert_full,0.8915878323124252
bert_avg_pool,0.8915817794612484
bert_aligned,0.8638923749906606
docu_toads_lemma,0.8181334357817206
docu_toads,0.8180765297426058
jaro_winkler,0.8052101350715414
bert_max_avg,0.6189703160413436
sw_align,0.6021158844210334
