method,corr
sw_align,0.6021158844210334
bert_max_avg,0.6189703160413436
jaro_winkler,0.8052101350715414
docu_toads,0.8180765297426058
docu_toads_lemma,0.8181334357817206
bert_aligned,0.8638923749906606
bert_avg_pool,0.8915817794612484
bert_full,0.8915878323124252
tfidf_cos_sim,0.9001443709713245
tfidf_cos_sim_lemma,0.9001443709713245
gzip_text,0.9034546114604782
gzip_lemma,0.9038835303058691
tfidf_cos_sim_bigram,0.9091881926151435
tfidf_cos_sim_bigram_lemma,0.9091881926151435
word_ol_lemma,0.9109384032474885
word_ol,0.9110514885761548
word_ol_bigrams,0.9128760532391726
word_ol_bigrams_lemma,0.9131279905997505
bert_paper,0.9736263355846457
word_pos_ol,NaN
word_pos_bigrams,NaN
word_pos_ol_lemma,NaN
word_pos_bigrams_lemma,NaN
